NFE,Model,PCC,Latency_ms
1,DeScoD,0.005743428,311.7334500000002
1,Unet_Flow,0.8621,217.2433000000007
1,Normal_Flow,0.8621,77.04544999999908
2,DeScoD,0.06780654,33.06054999999919
2,Unet_Flow,0.9258862428564946,139.67740000000006
2,Normal_Flow,0.8737029063229439,88.93740000000072
3,DeScoD,0.09994374,43.211449999999374
3,Unet_Flow,0.9494901543427565,147.88465000000173
3,Normal_Flow,0.8854468547379251,95.44374999999938
4,DeScoD,0.41972274,58.740100000001405
4,Unet_Flow,0.9494808779388659,160.2713499999986
4,Normal_Flow,0.8970264510624664,86.20304999999995
5,DeScoD,0.8781497,57.91125000000008
5,Unet_Flow,0.9495000433953167,147.75535000000062
5,Normal_Flow,0.9087436347516418,81.6328999999989
6,DeScoD,0.89040981422639,59.38339999999798
6,Unet_Flow,0.9495058106985531,146.2904000000016
6,Normal_Flow,0.9204171109205335,76.59814999999881
7,DeScoD,0.8956284631871397,61.857450000001535
7,Unet_Flow,0.9494929820633445,139.7101499999991
7,Normal_Flow,0.9319436699346091,72.59514999999794
8,DeScoD,0.8994249528600198,69.61224999999516
8,Unet_Flow,0.9494220840614072,153.6231999999984
8,Normal_Flow,0.9317813524849653,74.19314999999926
9,DeScoD,0.9025971642504634,75.65404999999714
9,Unet_Flow,0.9494954788004132,158.8234999999969
9,Normal_Flow,0.9321080902112638,70.94945000000052
10,DeScoD,0.9055785499046766,67.3149500000001
10,Unet_Flow,0.949389416847382,133.389250000004
10,Normal_Flow,0.9321947731030216,73.73594999999966
11,DeScoD,0.9082382011466565,73.89430000000274
11,Unet_Flow,0.9493483156225971,143.01255000000168
11,Normal_Flow,0.9321945778157754,76.78394999999938
12,DeScoD,0.910703792691474,80.18159999999952
12,Unet_Flow,0.9493806314430552,151.65365000000364
12,Normal_Flow,0.931988078714601,80.81405000000075
13,DeScoD,0.9128702274798541,86.63070000000062
13,Unet_Flow,0.9494517867965849,161.4727499999944
13,Normal_Flow,0.9319642072093258,93.77930000000134
14,DeScoD,0.9150857334988949,124.69339999999818
14,Unet_Flow,0.9494962281351728,169.89829999999984
14,Normal_Flow,0.9319676305597587,85.92515000000844
